id,scenario,y,sz_asr,sz_gold,true_delta,conf_proxy,wer
8261,calendar,2,2.0,2.0,0.0,0.24645764679372595,0.4
8269,calendar,2,1.0,1.0,0.0,0.004598433538158031,0.14285714285714285
8276,calendar,2,1.0,1.0,0.0,0.018550386969837684,0.16666666666666666
8280,calendar,2,1.0,1.0,0.0,0.001628140153735247,0.375
8284,calendar,2,1.0,1.0,0.0,0.009832050014838778,0.0
8289,calendar,2,1.0,1.0,0.0,0.006406426658131181,0.0
8290,calendar,2,1.0,1.0,0.0,0.008297805863967889,0.0
8294,calendar,2,1.0,1.0,0.0,0.0027492427555790844,0.0
8300,calendar,2,1.0,1.0,0.0,0.030056675587625148,0.6363636363636364
8302,calendar,2,1.0,1.0,0.0,0.006942524964588803,0.25
8308,news,10,2.0,3.0,-1.0,0.3553253386882652,0.2727272727272727
8320,general,6,3.0,3.0,0.0,0.5514620518788773,0.0
8322,general,6,1.0,1.0,0.0,0.16721092528878823,0.0
8336,calendar,2,5.0,1.0,4.0,0.5328550242247284,0.3333333333333333
8343,datetime,4,2.0,2.0,0.0,0.3735299861595742,0.0
8345,calendar,2,1.0,1.0,0.0,0.004245720259031249,0.0
8347,calendar,2,1.0,2.0,-1.0,0.1602939206348426,0.14285714285714285
8358,calendar,2,1.0,1.0,0.0,0.26535846047330514,0.0
8366,calendar,2,1.0,1.0,0.0,0.014555736578767076,0.2222222222222222
8387,calendar,2,1.0,1.0,0.0,0.028051568924143955,0.2857142857142857
8388,calendar,2,1.0,1.0,0.0,0.008184263471501918,0.3
8390,calendar,2,1.0,1.0,0.0,0.002742750196885524,0.6666666666666666
8394,calendar,2,1.0,1.0,0.0,0.1819148620035792,0.1
8402,general,6,3.0,1.0,2.0,0.6329710915362141,0.3333333333333333
8404,calendar,2,1.0,2.0,-1.0,0.1626555119170362,0.0
8409,calendar,2,1.0,1.0,0.0,0.055202929566487535,0.0
8410,calendar,2,2.0,1.0,1.0,0.3418126221584701,0.8333333333333334
8413,calendar,2,1.0,5.0,-4.0,0.3416392903234897,1.0
8414,calendar,2,1.0,1.0,0.0,0.08120383396453512,0.15384615384615385
8415,calendar,2,1.0,1.0,0.0,0.02687314487205361,0.15384615384615385
8426,calendar,2,1.0,2.0,-1.0,0.10556130985124201,0.3333333333333333
8430,calendar,2,1.0,1.0,0.0,0.02029927358364414,0.0
8431,calendar,2,1.0,1.0,0.0,0.002802828867149443,0.0
8436,calendar,2,1.0,1.0,0.0,0.005674325743145969,0.16666666666666666
